timestamp,distance_m,linear_x,angular_z,anomaly
1773869580.895,2.0047,0.300,0.000,OK
1773869581.395,1.8893,0.300,0.000,OK
1773869581.895,1.7563,0.300,0.000,OK
1773869582.395,1.5462,0.300,0.000,OK
1773869582.895,1.3989,0.300,0.000,OK
1773869583.395,1.2502,0.300,0.000,OK
1773869583.895,1.0883,0.300,0.000,OK
1773869584.395,0.9682,0.300,0.000,OK
1773869584.895,0.9095,0.300,0.000,OK
1773869585.395,0.6716,0.300,0.000,OK
1773869585.895,0.6548,0.300,0.000,OK
1773869586.395,0.7340,0.300,0.000,OK
1773869586.895,0.6186,0.300,0.000,OK
1773869587.395,0.7703,0.300,0.000,OK
1773869587.895,0.8231,0.300,0.000,OK
1773869588.396,0.8283,0.300,0.000,OK
1773869588.895,1.0882,0.300,0.000,OK
1773869589.396,1.1350,0.300,0.000,OK
1773869589.897,1.2944,0.300,0.000,OK
1773869590.395,1.4544,0.300,0.000,OK
1773869590.895,1.6579,0.300,0.000,OK
1773869591.395,1.6704,0.300,0.000,OK
1773869591.895,1.9304,0.300,0.000,OK
1773869592.397,2.0668,0.300,0.000,OK
1773869592.895,2.2223,0.300,0.000,OK
1773869593.395,2.2515,0.300,0.000,OK
1773869593.895,2.2947,0.300,0.000,OK
1773869594.395,2.2485,0.300,0.000,OK
1773869594.895,2.2103,0.300,0.000,OK
1773869595.395,2.1812,0.300,0.000,OK
1773869595.895,2.1030,0.300,0.000,OK
1773869596.395,1.9943,0.300,0.000,OK
1773869596.895,1.8800,0.300,0.000,OK
1773869597.395,1.8417,0.300,0.000,OK
1773869597.895,1.5198,0.300,0.000,OK
1773869598.395,1.5319,0.300,0.000,OK
1773869598.895,1.3650,0.300,0.000,OK
1773869599.395,1.1328,0.300,0.000,OK
1773869599.895,0.9746,0.300,0.000,OK
1773869600.395,0.8651,0.300,0.000,OK
1773869600.895,0.8625,0.300,0.000,OK
1773869601.395,0.7088,0.300,0.000,OK
1773869601.895,0.6763,0.300,0.000,OK
1773869602.395,0.6441,0.300,0.000,OK
1773869602.895,0.7660,0.300,0.000,OK
1773869603.395,0.7444,0.300,0.000,OK
1773869603.895,0.9372,0.300,0.000,OK
1773869604.395,1.1275,0.300,0.000,OK
1773869604.895,1.1114,0.300,0.000,OK
1773869605.395,1.1869,0.300,0.000,OK
1773869605.895,1.3490,0.300,0.000,OK
1773869606.395,1.5282,0.300,0.000,OK
1773869606.895,1.7653,0.300,0.000,OK
1773869607.395,1.8687,0.300,0.000,OK
1773869607.895,1.9596,0.300,0.000,OK
1773869608.395,2.1242,0.300,0.000,OK
1773869608.895,2.1664,0.300,0.000,OK
1773869609.395,2.2883,0.300,0.000,OK
1773869609.895,2.2608,0.300,0.000,OK
1773869610.395,2.2555,0.300,0.000,OK
1773869610.895,2.2004,0.300,0.000,OK
